"","Maryon Park.age.3","Maryon Park.age.4","Maryon Park.age.5","Maryon Park.age.6","Union Street.age.6 to 7","Union Street.age.5 to 6","Union Street.age.3 to 4","Slade.age.7","Slade.age.6","Slade.age.5","Slade.age.5","Slade.age.3 to 4","Ancona Road.age.3","Ancona Road.age.4","Ancona Road.age.5","Ancona Road.age.6","Ancona Road.age.6","Ancona Road.age.7","Ancona Road.age.7","Timbercroft Road.age.5","Timbercroft Road.age.4","Plum Lane.age.3 to 4","Plum Lane.age.5","Plum Lane.age.6","Plum Lane.age.7","Mulgrave Place.age.3","Mulgrave Place.age.4","Mulgrave Place.age.6","Mulgrave Place.age.6","Mulgrave Place.age.7","Conway Road.age.4","Conway Road.age.5","Conway Road.age.5 to 6","Conway Road.age.6 to 7","Conway Road.age.7","Conway Road.age.7 to 8","Conway Road.age.8","Bostall Lane.age.3","Bostall Lane.age.4","Bostall Lane.age.4","Bostall Lane.age.5","Bostall Lane.age.5","Bostall Lane.age.6","Eglington Road.age.3 to 4","Eglington Road.age.4 to 5","Eglington Road.age.5","Eglington Road.age.6","Eglington Road.age.7","Eglington Road.age.7","Purrett Road.age.3 to 4","Purrett Road.age.4 to 5","Purrett Road.age.5 to 6","Purrett Road.age.6","Purrett Road.age.7","Purrett Road.age.7 to 8","Vicarage Road.age.8","Vicarage Road.age.7","Vicarage Road.age.6","Vicarage Road.age.5","Vicarage Road.age.4 to 5 ","Vicarage Road.age.3 to 4","Conway Road.age.4","Conway Road.age.5","Conway Road.age.5 to 6","Conway Road.age.6 to 7","Conway Road.age.7","Conway Road.age.7 to 8","Conway Road.age.8","week"
"1",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3",0,0,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4",1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"5",1,9,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,15,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6",4,16,20,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,2,0,0,2,13,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6
"7",9,3,1,5,0,0,7,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
"8",12,0,2,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,20,5,14,6,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,8
"9",2,0,0,0,0,0,0,0,1,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,8,3,0,0,0,0,0,0,9
"10",1,1,0,0,0,1,3,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,1,0,0,0,0,0,10
"11",0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11
"12",0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
"13",0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
"14",0,0,0,0,0,0,0,2,2,0,0,7,6,4,8,1,0,0,0,11,8,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"15",0,0,0,0,0,0,0,0,0,0,0,1,5,3,7,0,1,0,0,15,14,1,1,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"16",0,0,0,0,0,0,0,3,1,0,0,0,2,2,5,0,0,0,0,1,6,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"17",0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
